"Name","Team","Bye Week","Pos","Rank","PPG","ATTS","YDS","TDS","REC","YDS","TDS","FUM"
"Jaydon Blue","DAL","14","RB","251","2.9","43","178","2","13","88","0","1"
"Adam Randall","BAL","13","RB","252","2.9","60","225","1","10","76","0","0"
"Ray Davis","BUF","7","RB","253","2.8","44","207","0","9","83","1","0"
"Jahan Dotson","ATL","11","WR","254","2.8","0","0","0","18","233","1","0"
"Max Klare","LAR","11","TE","255","2.8","0","0","0","20","218","1","0"
"Terrance Ferguson","LAR","11","TE","256","2.7","0","0","0","20","198","1","0"
"Devontez Walker","BAL","13","WR","257","2.7","0","0","0","12","179","3","0"
"Chris Brazzell II","CAR","5","WR","258","2.6","0","0","0","16","213","1","0"
"Luke Musgrave","GB","11","TE","259","2.4","1","2","0","16","177","1","0"
"Zavion Thomas","CHI","10","WR","260","2.2","0","0","0","14","174","1","0"
"Demond Claiborne","MIN","6","RB","261","2.0","42","185","1","7","45","0","1"
"Jerome Ford","WAS","7","RB","262","2.0","17","67","1","16","71","0","0"
"Skyler Bell","BUF","7","WR","263","1.8","0","0","0","11","152","1","0"
"Ollie Gordon II","MIA","6","RB","264","1.7","30","123","1","7","42","0","1"
"Kaleb Johnson","PIT","9","RB","265","1.5","33","137","1","7","36","0","1"
"Trevor Etienne","CAR","5","RB","266","1.5","22","116","0","4","22","1","0"
"Tahj Brooks","CIN","6","RB","267","1.2","32","116","0","4","35","0","0"
