yahoo_rank,name,team,position,percent_drafted,preseason_adp,adp
214,Zachariah Branch,ATL,WR,,,
215,Eddy Pineiro,SF,K,71,142.5,143
216,Oronde Gadsden,LAC,TE,25,126.6,126.6
217,Evan McPherson,CIN,K,55,142,142.5
218,Gunnar Helm,TEN,TE,,,
219,Tyrone Tracy Jr.,NYG,RB,17,130.8,130.9
220,Rashod Bateman,BAL,WR,,,
221,Cowboys,DAL,DEF,16,129.7,129.7
222,Jaydon Blue,DAL,RB,2,125.9,126
223,Wil Lutz,DEN,K,10,136.2,136.5
224,James Conner,ARI,RB,2,124.9,125.6
225,Adam Randall,BAL,RB,,,
226,Chargers,LAC,DEF,54,139.2,139.3
227,Tyquan Thornton,KC,WR,,,
228,Jake Bates,DET,K,52,137.7,138.2
229,Antonio Williams,WAS,WR,,,
230,Jahan Dotson,ATL,WR,,,
231,Lions,DET,DEF,35,136.7,137
232,Malachi Fields,NYG,WR,,,
233,Jack Bech,LV,WR,,,
234,Packers,GB,DEF,14,136.9,137.1
235,Cooper Kupp,SEA,WR,4,120.6,120.6
236,Sean Tucker,TB,RB,,,
237,Ted Hurst III,TB,WR,,,
238,Chiefs,KC,DEF,6,133.2,133.4
239,Malik Davis,DAL,RB,,,
240,Fernando Mendoza,LV,QB,5,118.4,119.3
241,Darnell Mooney,NYG,WR,,,
242,Isaac TeSlaa,DET,WR,2,124.5,124.9
243,Bills,BUF,DEF,11,130.1,130.2
244,Colby Parkinson,LAR,TE,,,
245,Darren Waller,CAR,TE,,,
246,Kimani Vidal,LAC,RB,,,
247,Geno Smith,NYJ,QB,,,
248,Aaron Rodgers,PIT,QB,2,116.3,116.7
249,Seth McGowan,IND,RB,,,
250,Harrison Mevis,LAR,K,56,132.7,133
251,Jaylen Wright,MIA,RB,,,
252,Samaje Perine,CIN,RB,,,
253,Michael Penix Jr.,ATL,QB,,,
254,Tank Dell,HOU,WR,,,
255,Calvin Ridley,TEN,WR,,,
256,Justice Hill,BAL,RB,,,
257,Bengals,CIN,DEF,,,
258,Isaiah Davis,NYJ,RB,,,
259,Charlie Kolar,LAC,TE,,,
260,49ers,SF,DEF,8,126.5,127.1
261,Germie Bernard,PIT,WR,,,
262,Cade Otton,TB,TE,,,
263,Trey Smack,GB,K,5,129.7,130.5
264,Chase McLaughlin,TB,K,7,139.8,140.3
265,Giants,NYG,DEF,3,128.8,128.9
266,Xavier Legette,CAR,WR,,,
267,Chris Boswell,PIT,K,22,134.5,135.1
268,Buccaneers,TB,DEF,,,
269,Tahj Brooks,CIN,RB,,,
270,Keon Coleman,BUF,WR,,,
271,Colts,IND,DEF,,,
272,Eli Raridon,NE,TE,,,
273,Darius Slayton,NYG,WR,,,
274,Harrison Butker,KC,K,14,129.7,130.6
275,Emanuel Wilson,SEA,RB,,,
276,Treylon Burks,WAS,WR,,,
277,Ollie Gordon II,MIA,RB,,,
278,Jordan James,SF,RB,,,
279,Kendre Miller,NO,RB,,,
280,Chris Brooks,GB,RB,,,
281,Pat Freiermuth,PIT,TE,3,123.8,124.3
282,Charlie Smyth,NO,K,,,
283,Andy Borregales,NE,K,22,143.5,143.7
284,Evan Engram,DEN,TE,,,
285,Bryce Lance,NO,WR,,,
286,Saints,NO,DEF,,,
287,Bears,CHI,DEF,5,127.6,127.8
288,Xavier Hutchinson,HOU,WR,,,
289,Falcons,ATL,DEF,2,130.7,131.4
290,Joshua Palmer,BUF,WR,,,
291,DeMario Douglas,NE,WR,,,
292,Tua Tagovailoa,ATL,QB,,,
293,Malik Benson,LV,WR,,,
294,Troy Franklin,DEN,WR,,,
295,Tory Horton,SEA,WR,,,
296,Browns,CLE,DEF,3,133.2,133.5
297,Jake Tonges,SF,TE,,,
298,Titans,TEN,DEF,,,
299,Michael Mayer,LV,TE,,,
300,Elijah Sarratt,BAL,WR,,,
301,Shedeur Sanders,CLE,QB,,,
302,Deshaun Watson,CLE,QB,,,
303,David Njoku,LAC,TE,3,124.1,124.6
304,DJ Giddens,IND,RB,,,
305,Marlin Klein,HOU,TE,,,
306,Kirk Cousins,LV,QB,,,
307,Ashton Dulin,IND,WR,,,
308,Skyler Bell,BUF,WR,,,
309,Darnell Washington,PIT,TE,,,
310,Mason Taylor,NYJ,TE,,,
311,Eli Stowers,PHI,TE,,,
312,Elijah Arroyo,SEA,TE,,,
313,Mike Gesicki,CIN,TE,,,
314,Erick All Jr.,CIN,TE,,,
315,Brenen Thompson,LAC,WR,,,
316,Carson Beck,ARI,QB,,,
317,Andrei Iosivas,CIN,WR,,,
318,Devin Neal,NO,RB,,,
319,Elic Ayomanor,TEN,WR,,,
320,Oscar Delp,NO,TE,,,
321,Luke McCaffrey,WAS,WR,,,
322,Chimere Dike,TEN,WR,,,
323,Emari Demercado,KC,RB,,,
324,Christian Kirk,SF,WR,,,
325,Sione Vaki,DET,RB,,,
326,Ty Johnson,BUF,RB,,,
327,Roschon Johnson,CHI,RB,,,
328,Trey Benson,ARI,RB,,,
329,Trevor Etienne,CAR,RB,,,
330,Theo Johnson,NYG,TE,,,
331,Raheim Sanders,CLE,RB,,,
332,LeQuint Allen Jr.,JAX,RB,,,
333,Devin Singletary,NYG,RB,,,
334,Jawhar Jordan,HOU,RB,,,
