name,team,position,half_ppr_adp,full_ppr_adp,projected_fantasy_points,half_ppr_season,half_ppr_per_game,full_ppr_season,full_ppr_per_game,pass_attempts,pass_completions,pass_yards,pass_tds,interceptions,rush_attempts,rush_yards,rush_tds,targets,receptions,rec_yards,rec_tds,fumbles_lost
A.J. Brown,NE,WR,27.3,27.3,248.5,204.9,12.1,247.9,14.6,0,0,0,0,0,0,0,0,129.7,86.0,1215.1,6.9,0.6
Kenneth Walker III,KC,RB,24.8,24.8,272.7,247.5,14.6,271.7,16.0,0,0,0,0,0,276.1,1233.3,9.0,59.8,48.3,375.4,1.7,0.9
Josh Jacobs,GB,RB,28.6,28.6,273.7,254.8,15.0,272.8,16.0,0,0,0,0,0,300.3,1238.8,13.0,47.1,36.0,280.7,1.6,1.6
Colston Loveland,CHI,TE,45.4,45.4,206.1,165.1,9.7,205.2,12.1,0,0,0,0,0,0,0,0,118.2,80.2,897.9,6.0,0.4
Omarion Hampton,LAC,RB,22.0,22.0,279.4,250.8,14.8,278.7,16.4,0,0,0,0,0,270.4,1152.6,9.9,69.0,55.9,393.4,1.9,1.2
Rashee Rice,KC,WR,22.7,22.7,270.2,221.2,13.0,269.3,15.8,0,0,0,0,0,8.2,42.6,0.6,135.9,96.3,1131.9,9.1,1.2
Drake Maye,NE,QB,47.9,47.9,319.0,316.4,18.6,316.4,18.6,519.7,355.0,4094.2,26.9,11.2,101.0,531.6,4.0,0,0,0,0,5.1
Tyler Warren,IND,TE,47.1,47.1,208.5,164.6,9.7,207.6,12.2,0,0,0,0,0,6.3,14.5,0.4,115.2,86.0,871.7,5.3,0.6
Jeremiyah Love,ARI,RB,19.5,19.5,278.8,245.3,14.4,277.8,16.3,0,0,0,0,0,254.8,1129.1,6.7,85.9,65.2,488.8,2.2,1.3
Chase Brown,CIN,RB,26.3,26.3,272.5,239.1,14.1,271.2,16.0,0,0,0,0,0,240.3,1046.4,7.4,80.1,64.1,434.6,2.8,1.2
DeVonta Smith,PHI,WR,39.4,39.4,238.8,193.1,11.4,238.2,14.0,0,0,0,0,0,0,0,0,127.8,90.3,1129.3,6.0,0.6
Jayden Daniels,WSH,QB,51.2,51.2,318.5,314.2,18.5,314.2,18.5,520.2,347.4,3853.9,22.4,9.9,131.0,669.8,5.1,0,0,0,0,3.7
Chris Olave,NO,WR,35.4,35.4,244.9,198.9,11.7,244.2,14.4,0,0,0,0,0,0,0,0,142.3,90.5,1162.6,6.4,0.6
Garrett Wilson,NYJ,WR,36.3,36.3,247.9,196.5,11.6,246.6,14.5,0,0,0,0,0,2.2,10.8,0.1,148.7,100.1,1163.5,5.1,1.1
Malik Nabers,NYG,WR,38.1,38.1,246.9,202.8,11.9,246.1,14.5,0,0,0,0,0,4.5,23.0,0.1,136.7,86.6,1137.2,7.4,0.8
Tetairoa McMillan,CAR,WR,41.1,41.1,240.3,197.8,11.6,239.5,14.1,0,0,0,0,0,0,0,0,141.0,83.4,1200.3,6.3,0.8
Breece Hall,NYJ,RB,38.5,38.5,273.1,244.6,14.4,270.6,15.9,0,0,0,0,0,265.0,1163.1,7.6,63.7,52.1,435.9,2.7,1.4
Cam Skattebo,NYG,RB,42.9,42.9,242.3,216.8,12.8,241.4,14.2,0,0,0,0,0,249.3,1047.0,7.3,60.8,49.2,364.8,1.6,1.2
Davante Adams,LAR,WR,47.2,47.2,232.6,198.5,11.7,232.3,13.7,0,0,0,0,0,0,0,0,123.7,67.6,1016.2,10.6,0.4
Zay Flowers,BAL,WR,42.5,42.5,238.8,197.4,11.6,238.3,14.0,0,0,0,0,0,9.8,57.3,0.4,116.6,81.8,1170.9,5.5,1.0
Javonte Williams,DAL,RB,39.0,39.0,258.7,239.2,14.1,257.7,15.2,0,0,0,0,0,287.5,1256.3,11.1,50.9,37.1,218.4,1.5,1.2
Kyren Williams,LAR,RB,42.5,42.5,232.2,215.0,12.6,231.7,13.6,0,0,0,0,0,236.5,1071.3,10.2,45.0,33.4,223.8,1.6,1.1
Jalen Hurts,PHI,QB,53.9,53.9,320.7,317.9,18.7,317.9,18.7,498.9,327.6,3780.3,23.6,9.2,106.3,438.2,9.2,0,0,0,0,4.1
Emeka Egbuka,TB,WR,44.6,44.6,229.5,193.3,11.4,228.1,13.4,0,0,0,0,0,2.2,11.9,0.1,128.0,69.7,1128.4,7.5,0.6
Joe Burrow,CIN,QB,59.9,59.9,304.4,300.9,17.7,300.9,17.7,569.2,385.3,4122.2,33.0,10.9,51.8,189.2,2.1,0,0,0,0,2.8
Travis Etienne Jr.,NO,RB,50.1,50.1,242.1,218.9,12.9,241.2,14.2,0,0,0,0,0,257.9,1120.0,6.1,60.2,44.6,376.5,2.1,1.0
Tee Higgins,CIN,WR,57.7,57.7,218.5,181.2,10.7,217.7,12.8,0,0,0,0,0,0,0,0,114.4,73.1,955.2,8.3,0.4
Ladd McConkey,LAC,WR,52.7,52.7,220.2,179.7,10.6,219.5,12.9,0,0,0,0,0,0,0,0,122.1,79.6,1033.9,6.3,0.6
Kyle Pitts Sr.,ATL,TE,66.0,66.0,185.0,144.5,8.5,184.6,10.9,0,0,0,0,0,0,0,0,115.0,80.4,856.9,3.2,0.3
Bucky Irving,TB,RB,55.8,55.8,207.6,187.8,11.0,206.2,12.1,0,0,0,0,0,244.5,993.6,5.3,45.3,36.8,294.5,1.7,1.0
Jaylen Waddle,DEN,WR,60.2,60.2,212.9,173.8,10.2,212.2,12.5,0,0,0,0,0,2.0,12.1,0.1,118.6,76.7,991.2,6.0,0.7
Quinshon Judkins,CLE,RB,54.7,54.7,225.3,208.3,12.3,224.2,13.2,0,0,0,0,0,316.3,1240.4,7.2,41.4,31.8,220.8,0.7,0.7
Terry McLaurin,WSH,WR,62.0,62.0,218.8,179.3,10.5,217.8,12.8,0,0,0,0,0,0,0,0,118.7,77.1,1054.1,6.1,0.6
Sam LaPorta,DET,TE,66.4,66.4,188.7,149.3,8.8,188.4,11.1,0,0,0,0,0,0,0,0,102.1,78.3,787.1,5.4,0.4
Jameson Williams,DET,WR,67.1,67.1,208.5,176.1,10.4,208.2,12.2,0,0,0,0,0,7.0,45.1,0.6,102.1,64.2,1026.9,5.7,0.4
Jaxson Dart,NYG,QB,75.6,75.6,301.5,298.5,17.6,298.5,17.6,503.8,327.3,3689.4,20.9,10.2,100.8,553.2,6.6,0,0,0,0,3.7
Carnell Tate,TEN,WR,70.0,70.0,211.1,172.0,10.1,210.9,12.4,0,0,0,0,0,0,0,0,126.8,77.9,1068.0,4.6,0.8
Matthew Stafford,LAR,QB,78.5,78.5,293.2,292.1,17.2,292.1,17.2,557.8,356.1,4281.9,34.9,9.7,27.0,39.4,0.6,0,0,0,0,3.5
Harold Fannin Jr.,CLE,TE,76.6,76.6,187.2,145.2,8.5,186.6,11.0,0,0,0,0,0,8.5,21.1,0.3,119.0,83.0,817.3,3.2,0.6
DJ Moore,BUF,WR,71.1,71.1,209.8,175.0,10.3,208.6,12.3,0,0,0,0,0,6.9,35.9,0.4,107.4,67.2,945.7,7.0,0.6
TreVeyon Henderson,NE,RB,71.2,71.2,208.2,185.9,10.9,207.5,12.2,0,0,0,0,0,194.3,853.8,6.8,51.9,43.1,299.6,1.6,0.7
Rome Odunze,CHI,WR,72.2,72.2,212.8,182.0,10.7,211.7,12.5,0,0,0,0,0,0,0,0,118.2,59.3,1029.5,8.4,0.6
D'Andre Swift,CHI,RB,72.7,72.7,211.9,195.6,11.5,210.8,12.4,0,0,0,0,0,219.4,995.4,8.2,41.1,30.4,269.6,1.1,1.0
David Montgomery,HOU,RB,75.5,75.5,192.2,175.3,10.3,191.0,11.2,0,0,0,0,0,214.4,929.9,7.0,38.4,31.5,230.7,0.6,1.0
Luther Burden III,CHI,WR,76.9,76.9,206.0,167.8,9.9,205.3,12.1,0,0,0,0,0,9.1,49.6,0.4,113.1,75.1,937.6,5.1,0.7
Jadarian Price,SEA,RB,81.0,81.0,194.1,179.9,10.6,193.5,11.4,0,0,0,0,0,222.6,922.5,7.9,35.3,27.1,212.4,1.3,1.0
DK Metcalf,PIT,WR,87.9,87.9,195.2,162.5,9.6,194.8,11.5,0,0,0,0,0,0,0,0,113.3,64.7,941.3,6.2,0.5
Dak Prescott,DAL,QB,87.7,87.7,286.8,284.3,16.7,284.3,16.7,555.9,372.0,4120.1,29.8,11.9,51.2,185.9,2.2,0,0,0,0,3.6
George Kittle,SF,TE,97.7,97.7,177.0,141.6,8.3,176.4,10.4,0,0,0,0,0,0,0,0,88.5,69.7,761.7,5.2,0.3
Caleb Williams,CHI,QB,92.4,92.4,282.1,278.2,16.4,278.2,16.4,528.3,316.6,3822.9,25.3,9.9,71.1,382.0,2.3,0,0,0,0,4.0
Courtland Sutton,DEN,WR,85.9,85.9,204.0,168.4,9.9,203.1,11.9,0,0,0,0,0,0,0,0,118.6,69.3,892.7,7.6,0.5
Bhayshul Tuten,JAX,RB,79.5,79.5,204.8,186.8,11.0,203.7,12.0,0,0,0,0,0,237.0,991.5,6.7,45.4,33.7,249.9,1.4,1.4
Dallas Goedert,PHI,TE,101.7,101.7,176.7,140.9,8.3,176.1,10.4,0,0,0,0,0,0,0,0,93.4,70.5,725.5,5.7,0.4
Michael Pittman Jr.,PIT,WR,91.0,91.0,196.6,152.2,9.0,196.4,11.6,0,0,0,0,0,0,0,0,130.3,88.4,860.1,3.9,0.6
