name,team,position,half_ppr_adp,full_ppr_adp,projected_fantasy_points,half_ppr_season,half_ppr_per_game,full_ppr_season,full_ppr_per_game,pass_attempts,pass_completions,pass_yards,pass_tds,interceptions,rush_attempts,rush_yards,rush_tds,receptions,rec_yards,rec_tds,fumbles_lost
Travis Kelce,KC,TE,112.6,107.1,165.0,131.5,7.7,165.0,9.7,0,0,0,0,0,0,0,0,67.0,680.0,5.0,0
Romeo Doubs,NE,WR,112.7,115.3,167.2,138.7,8.2,167.2,9.8,0,0,0,0,0,0,0,0,57.0,742.0,6.0,0
Bo Nix,DEN,QB,114.1,118.7,295.7,281.7,16.6,281.7,16.6,555.0,366.0,3768.0,26.0,12.0,76.0,330.0,4.0,0,0,0,3.0
Mark Andrews,BAL,TE,115.0,110.7,156.3,127.8,7.5,156.3,9.2,0,0,0,0,0,6.0,11.0,0,57.0,622.0,6.0,0
KC Concepcion,CLE,WR,116.0,143.2,156.4,127.4,7.5,156.4,9.2,0,0,0,0,0,9.0,54.0,0,58.0,710.0,4.0,1.0
Dallas Goedert,PHI,TE,116.7,109.1,142.0,115.5,6.8,142.0,8.4,0,0,0,0,0,0,0,0,53.0,590.0,5.0,0
Matthew Stafford,LAR,QB,116.7,115.2,280.2,265.2,15.6,265.2,15.6,528.0,343.0,4033.0,32.0,11.0,27.0,19.0,0,0,0,0,2.0
Rachaad White,WAS,RB,119.0,127.2,122.7,106.7,6.3,122.7,7.2,0,0,0,0,0,109.0,446.0,3.0,32.0,241.0,1.0,1.0
Hunter Henry,NE,TE,119.2,106.2,147.4,119.9,7.1,147.4,8.7,0,0,0,0,0,0,0,0,55.0,624.0,5.0,0
Xavier Worthy,KC,WR,119.8,134.9,161.5,134.0,7.9,161.5,9.5,0,0,0,0,0,17.0,90.0,1.0,55.0,695.0,4.0,1.0
Isaiah Likely,NYG,TE,120.5,117.3,151.2,121.7,7.2,151.2,8.9,0,0,0,0,0,0,0,0,59.0,622.0,5.0,0
Tyler Allgeier,ARI,RB,120.9,132.5,71.8,67.8,4.0,71.8,4.2,0,0,0,0,0,100.0,421.0,3.0,8.0,57.0,0,1.0
Josh Downs,IND,WR,121.0,125.1,165.6,132.1,7.8,165.6,9.7,0,0,0,0,0,2.0,12.0,0,67.0,734.0,4.0,0
Zach Charbonnet,SEA,RB,123.3,125.8,67.2,61.7,3.6,67.2,4.0,0,0,0,0,0,65.0,264.0,3.0,11.0,78.0,1.0,1.0
Jordan Mason,MIN,RB,124.6,130.5,153.7,143.7,8.5,153.7,9.0,0,0,0,0,0,190.0,797.0,6.0,20.0,140.0,1.0,1.0
Jared Goff,DET,QB,125.8,122.0,283.5,269.5,15.9,269.5,15.9,533.0,362.0,4104.0,30.0,10.0,29.0,53.0,1.0,0,0,0,3.0
Brenton Strange,JAX,TE,128.3,128.8,154.8,124.8,7.3,154.8,9.1,0,0,0,0,0,0,0,0,60.0,648.0,5.0,0
Jayden Higgins,HOU,WR,129.3,131.1,163.7,135.2,8.0,163.7,9.6,0,0,0,0,0,1.0,6.0,0,57.0,761.0,5.0,0
Jonah Coleman,DEN,RB,130.2,145.0,59.4,54.9,3.2,59.4,3.5,0,0,0,0,0,65.0,276.0,2.0,9.0,68.0,1.0,1.0
Khalil Shakir,BUF,WR,130.4,133.8,166.5,132.0,7.8,166.5,9.8,0,0,0,0,0,2.0,10.0,0,69.0,725.0,4.0,0
Tyrone Tracy,NYG,RB,131.4,145.3,111.3,100.8,5.9,111.3,6.5,0,0,0,0,0,124.0,528.0,3.0,21.0,155.0,1.0,1.0
Kenyon Sadiq,NYJ,TE,131.9,118.2,136.9,109.4,6.4,136.9,8.1,0,0,0,0,0,2.0,9.0,0,55.0,570.0,4.0,0
Matthew Golden,GB,WR,132.2,134.1,158.8,132.3,7.8,158.8,9.3,0,0,0,0,0,9.0,57.0,0,53.0,701.0,5.0,0
AJ Barner,SEA,TE,132.6,150.1,142.4,113.4,6.7,142.4,8.4,0,0,0,0,0,10.0,14.0,1.0,58.0,530.0,4.0,0
Jordan Love,GB,QB,133.3,124.8,282.5,270.5,15.9,270.5,15.9,501.0,328.0,3808.0,28.0,10.0,51.0,202.0,2.0,0,0,0,3.0
Stefon Diggs,FA,WR,134.4,125.9,170.2,137.7,8.1,170.2,10.0,0,0,0,0,0,1.0,6.0,0,65.0,746.0,5.0,0
